código,peso,altura,largura,espessura
1,,,,
3,,,,
5,,,,
7,,,,
9,,,,
11,,,,
13,,,,
15,,,,
19,,,,
21,,,,
23,,,,
25,,,,
27,,,,
28,,,,
30,,,,
33,,,,
35,,,,
37,,,,
39,,,,
41,,,,
43,,,,
45,,,,
47,,,,
51,,,,
53,,,,
55,,,,
57,,,,
59,,,,
61,,,,
63,,,,
67,,,,
69,,,,
73,,,,
75,,,,
77,,,,
79,,,,
81,,,,
83,,,,
85,,,,
87,,,,
89,,,,
92,,,,
93,,,,
95,,,,
97,,,,
99,,,,
101,,,,
105,,,,
107,,,,
124,,,,
126,,,,
130,,,,
132,,,,
134,,,,
136,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
360,,,,
361,,,,
362,,,,
364,,,,
365,,,,
367,,,,
375,,,,
376,,,,
378,,,,
381,,,,
383,,,,
384,,,,
387,,,,
388,,,,
389,,,,
391,,,,
392,,,,
396,,,,
397,,,,
798,,,,
807,,,,
811,,,,
819,,,,
867,,,,
887,,,,
889,,,,
896,,,,
900,,,,
902,,,,
904,,,,
908,,,,
909,,,,
931,,,,
935,,,,
938,,,,
941,,,,
943,,,,
945,,,,
960,,,,
962,,,,
964,,,,
966,,,,
971,,,,
997,,,,
1055,,,,
1065,,,,
1067,,,,
1071,,,,
1073,,,,
1077,,,,
1079,,,,
1083,,,,
1087,,,,
1089,,,,
1091,,,,
1093,,,,
1097,,,,
1099,,,,
1101,,,,
1103,,,,
1105,,,,
1108,,,,
1112,,,,
1408,,,,
1416,,,,
1417,,,,
1418,,,,
1420,,,,
1423,,,,
1425,,,,
1427,,,,
1430,,,,
1434,,,,
1436,,,,
1438,,,,
1443,,,,
1447,,,,
1448,,,,
1454,,,,
1456,,,,
1457,,,,
1458,,,,
1463,,,,
1473,,,,
1474,,,,
1475,,,,
1476,,,,
1479,,,,
1481,,,,
1487,,,,
1492,,,,
1499,,,,
1521,,,,
1534,,,,
1536,,,,
1539,,,,
1541,,,,
1542,,,,
1543,,,,
