código,peso,espessura_corrente,comprimento_corrente,altura_pingente,largura_pingente,espessura_pingente
188,,,,,,
190,,,,,,
217,,,,,,
219,,,,,,
222,,,,,,
225,,,,,,
227,,,,,,
229,,,,,,
231,,,,,,
233,,,,,,
235,,,,,,
237,,,,,,
239,,,,,,
244,,,,,,
246,,,,,,
250,,,,,,
256,,,,,,
258,,,,,,
263,,,,,,
265,,,,,,
269,,,,,,
276,,,,,,
282,,,,,,
284,,,,,,
370,,,,,,
373,,,,,,
380,,,,,,
399,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
408,,,,,,
409,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
844,,,,,,
846,,,,,,
848,,,,,,
849,,,,,,
850,,,,,,
855,,,,,,
861,,,,,,
1554,,,,,,
,,,,,,
