código,peso,espessura,comprimento,altura_pingente,largura_pingente
153,,,,,
154,,,,,
156,,,,,
161,,,,,
162,,,,,
164,,,,,
166,,,,,
168,,,,,
170,,,,,
174,,,,,
191,,,,,
193,,,,,
195,,,,,
199,,,,,
201,,,,,
203,,,,,
205,,,,,
207,,,,,
209,,,,,
213,,,,,
215,,,,,
254,,,,,
421,,,,,
422,,,,,
1114,,,,,
1116,,,,,
1118,,,,,
1123,,,,,
1125,,,,,
1127,,,,,
1131,,,,,
1141,,,,,
1145,,,,,
1147,,,,,
1148,,,,,
1155,,,,,
1161,,,,,
,,,,,
