código,peso,espessura,comprimento,altura_pingente,largura_pingente
290,,,,,
292,,,,,
294,,,,,
296,,,,,
300,,,,,
302,,,,,
304,,,,,
308,,,,,
310,,,,,
312,,,,,
314,,,,,
316,,,,,
318,,,,,
320,,,,,
322,,,,,
1130,,,,,
1137,,,,,
1143,,,,,
1151,,,,,
1153,,,,,
1157,,,,,
1159,,,,,
,,,,,
