código,peso,altura_total,largura,diametro_interno,largura_pedra,altura_pedra
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
434,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
452,,,,,,
453,,,,,,
456,,,,,,
458,,,,,,
459,,,,,,
461,,,,,,
463,,,,,,
465,,,,,,
467,,,,,,
469,,,,,,
471,,,,,,
473,,,,,,
475,,,,,,
477,,,,,,
479,,,,,,
485,,,,,,
487,,,,,,
491,,,,,,
493,,,,,,
495,,,,,,
499,,,,,,
501,,,,,,
503,,,,,,
506,,,,,,
508,,,,,,
814,,,,,,
821,,,,,,
825,,,,,,
1054,,,,,,
1055,,,,,,
1285,,,,,,
1288,,,,,,
1289,,,,,,
1290,,,,,,
1291,,,,,,
1292,,,,,,
1293,,,,,,
1406,,,,,,
1407,,,,,,
1544,,,,,,
,,,,,,
