"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16456058640";"794	";"BRINCO CIRCULO TRABALHADO BANH OURO 18K - BR2167";"UN";"7113.20.00";"0";"69,90";"0,00";"";"Ativo";"2,00";"0,00";"	";"";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16454840678";"793	";"PULSEIRA MEDALAHAO S BENTO PRATA925- PUL0463";"UN";"7113.20.00";"0";"79,00";"0,00";"";"Ativo";"1,00";"26,33";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"26,33";"0,0000";"0,0000";"0,0000";"";""
"16454839678";"792	";"PULSEIRA ESPIRITO SANTO VAZADO PRATA925- PUL0583";"UN";"7113.20.00";"0";"72,90";"0,00";"";"Ativo";"0,00";"28,50";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"28,50";"0,0000";"0,0000";"0,0000";"";""
"16454839266";"791	";"PULSEIRA C 2 ZIRC E CRUZ CENTRAL PRATA925 - PUL0722";"UN";"7113.20.00";"0";"75,90";"0,00";"";"Ativo";"0,00";"23,56";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"23,56";"0,0000";"0,0000";"0,0000";"";""
"16454838877";"790	";"PULSEIRA MEDALHA PAI NOSSO PRATA925- PUL0751";"UN";"7113.20.00";"0";"89,90";"0,00";"";"Ativo";"1,00";"35,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"35,90";"0,0000";"0,0000";"0,0000";"";""
"16454838497";"789	";"PULSEIRA FEM SINGAPURA TORCIDA PRATA925- PUL0874";"UN";"7113.20.00";"0";"57,90";"0,00";"";"Ativo";"1,00";"15,23";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"15,23";"0,0000";"0,0000";"0,0000";"";""
"16454837800";"788	";"PULSEIRA RET COMPLETA VAZADA PRATA925 - PUL1140";"UN";"7113.20.00";"0";"95,90";"0,00";"";"Ativo";"0,00";"47,00";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"47,00";"0,0000";"0,0000";"0,0000";"";""
"16454837309";"787	";"PULSEIRA ELO PORT C OLHO GREGO AZUL ESC PRATA925- PUL1288";"UN";"7113.20.00";"0";"89,90";"0,00";"";"Ativo";"2,00";"33,66";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"33,66";"0,0000";"0,0000";"0,0000";"";""
"16454836437";"786	";"PULSEIRA CORDAO BAIANO 2.1GR PRATA925- PUL1327";"UN";"7113.20.00";"0";"89,90";"0,00";"";"Ativo";"0,00";"39,68";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"39,68";"0,0000";"0,0000";"0,0000";"";""
"16454835862";"785	";"PULSEIRA C MINI OLHO GREGO CLARO PRATA925- PUL1335";"UN";"7113.20.00";"0";"85,90";"0,00";"";"Ativo";"0,00";"30,00";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"30,00";"0,0000";"0,0000";"0,0000";"";""
