codigo,descricao_curta,Peso,altura,largura,comprimento,preco
406,GARGANTILHA FILHOS CHAPINHA BANH OURO 18K - 12811,,,,,"95,90"
408,COLAR TRIPLO COM CORACAO BANH OURO - GR1053,,,,,"179,00"
409,COLAR GRAVATINHA  COM PEDRAS CRISTAL BANH OURO 18K - GF7617,,,,,"135,90"
413,CHOKER  ELOS DUPLOS BANH OURO 18K - GFC42,,,,,"189,90"
414,CHOKER PEROLAS E ESFERAS BANH OURO 18K - CKN0204,,,,,"119,90"
415,GARGANTINHA C PEDRA CRISTAL QUADRADA BANH OURO 18K - CL02072,,,,,"72,90"
416,GARGANTILHA PEROLAS GD BANH OURO 18K - CL02035,,,,,"99,90"
417,GARGANTILHA TREVOS BANHADO OURO 18K - CLO2084,,,,,"89,90"
418,COLAR COM 1 FILHO BANHADO OURO 18K - 12808,,,,,"89,90"
421,PULSEIRA TREVO VAZADO BANH OURO 18K - PL4604,,,,,"85,90"
422,PULSEIRA RIVIERA CRISTAL BANH OURO 18K - AGF727,,,,,"139,90"
423,CONJUNTO INFANTIL ESFERAS PEQUENA BANHO OURO 18K - 12245,,,,,"82,90"
424,CONJUNTO COLAR E BRINCO PONTO LUZ GD BANH OURO 18K - CJ0031,,,,,"139,90"
425,CONJUNTO INFANTIL CORUJA BANH OURO 18K - GF5261,,,,,"129,90"
429,ANEL CRAVEJADO LUXO BANH OURO 18K - AGF991,,,,,"139,90"
430,ANEL SOLITARIO COM ZIRCONIA BANH OURO 18K - ANP211,,,,,"89,00"
431,ANEL PEDRA RETANGULAR C MICRO ZIRC BANHO OURO 18K - AGF560,,,,,"82,90"
432,ANEL VAZADO OVAL BANH OURO 18K - AGF1082,,,,,"65,90"
434,ANEL ESTRELAS CRAVEJADO BANH OURO 18K - AGF727,,,,,"87,90"
436,ANEL COM LACO ZIRCONIA BANH OURO 18K - AGF669,,,,,"95,00"
437,ANEL CRAVEJADO FRENTE DUPLA BANH OURO 18K - AGF996,,,,,"89,00"
438,ANEL FINO COM GOTA BANH OURO 18K - 12651,,,,,"67,90"
439,ANEL CRAVEJADO BANH OURO 18K - AGF873,,,,,"87,90"
440,ANEL COM GOTA CRAVEJADA BANH OURO 18K - AGF827,,,,,"75,90"
441,ANEL COM MICRO ZIRC E PEDRA CRISTAL BANH OURO 18K - AGF1046,,,,,"89,90"
445,ANEL VERSATIL CRAVEJADO LUXO BANH OURO 18K - AGF1017,,,,,"139,90"
446,ANEL ELOS C PEDRA 6MM BANH OURO 18K - AGF980,,,,,"89,90"
447,ANEL CHUVEIRINHO CRAVEJADO BANH OURO 18K - AGF812,,,,,"79,90"
452,ANEL CORACAO C PEDRA BAGUETE BANH OURO 18K - AGF821,,,,,"89,90"
453,ANEL FINO C ZIRCONIA E PEDRA RED BANH OURO 18K - AGF499,,,,,"72,90"
456,ANEL BORBOLETA CRAVEJADO BANH OURO 18K - AGF856,,,,,"74,90"
458,ANEL ARVORE DA VIDA C ZIRCONIA BANH OURO 18K - AGF905,,,,,"75,90"
459,ANEL QUADRADO LISO GROSSO BANH OURO 18K - 2540059,,,,,"109,90"
460,ANEL QUADRADO LIS GROSSO RODIO BRANCO - 2540059,,,,,"89,90"
461,ANEL QUADRADO ABAULADO LISO BANH OURO 18K - 2544199,,,,,"89,90"
462,ANEL QUADRADO ABAULADO LISO RODIO BRANCO - 2544199,,,,,"75,90"
463,ANEL FRENTE QUAD C ZIRCONIAS BANH OURO 18L - 2544198,,,,,"79,90"
464,ANEL FRENTE QUAD C ZIRC RODIO BRANCO - 2544198,,,,,"69,90"
465,ANEL QUADRADO FINO BANH OURO 18K - SAN0296,,,,,"79,90"
466,ANEL QUADRADO FINO RODIO BRANCO - SAN0296,,,,,"69,90"
467,ANEL GROSSO FRENTE QUAD LISA BANH OURO 18K - SAN2289,,,,,"89,90"
468,ANEL GROSSO FRENTE QUAD LISA RODIO BRANCO - SAN 2289,,,,,"75,90"
469,ANEL QUADRADO C PEDRA CRAVEJADA BANH OURO - ANP101,,,,,"94,50"
470,ANEL QUADRADO C PEDRA CRAVEJADA RODIO BRANCO - SAN2289,,,,,"79,90"
471,ANEL COM ZIRC CRAVEJADA BANH OURO 18K - AN00152,,,,,"79,90"
472,ANEL COM ZIRC CRAVEJADA RODIO BRANCO - AN00152,,,,,"68,90"
473,ANEL C CORACAO CHEIO E PEDRA BANH OURO 18K - AN0033Z,,,,,"67,90"
474,ANEL C CORACAO CHEIO C PEDRA RODIO BRANCO - AN0033Z,,,,,"55,90"
475,ANEL FORMATO V DUPLO BANH OURO 18K - 2543010,,,,,"119,00"
477,ANEL 3 FIOS C ESFERAS BANH OURO 18K - 0994075,,,,,"89,90"
478,ANEL 3 FIOS C ESFERAS RODIO BRANCO - 0994075,,,,,"75,90"
479,ANEL CORACAO GD VAZADO BANH OURO 18K - 2544070,,,,,"85,90"
480,ANEL CORACAO GRANDE VAZADO RODIO BRANCO - 2544070,,,,,"72,90"
482,ANEL FALANGE C CORACAO VAZ E CHEIO RODIO BRANCO - 7740129,,,,,"39,90"
485,ANEL CORACAO VAZADO PEQ BANH OURO 18K - 2544125,,,,,"65,90"
486,ANEL CORACAO VAZADO PEQ RODIO BRANCO - 2544125,,,,,"54,90"
487,ANEL TREVO BANH OURO 18K - SAN2238,,,,,"59,90"
488,ANEL TREVO RODIO BRANCO - SAN2238,,,,,"49,90"
490,ANEL FALANGE CORACAO E PONTO LUZ - 2544163,,,,,"45,90"
491,ANEL MINI ESFERAS BANH OURO 18K - 2544182,,,,,"64,90"
492,ANEL MINI ESFERAS RODIO BRANCO - 2544182,,,,,"52,90"
493,ANEL TREVO C ZIRCONIA OURO 18K - SAN2314,,,,,"74,90"
494,ANEL TREVO C ZIRCONIA RODIO BRANCO - SAN2314,,,,,"62,90"
495,ANEL CORRENTARIA BANH OURO 18K - SAN2298,,,,,"67,90"
496,ANEL CORRENTARIA RODIO BRANCO - SAN2298,,,,,"56,90"
498,ANEL FALANGE C TRIANGULOS RODIO BRANCO - 2544047,,,,,"49,90"
499,ANEL FOLHAS TIPO FALANGE BANH OURO 18K - 2544205,,,,,"74,90"
500,ANEL FOLHAS TIPO FALANGE RODIO BRANCO - 2544205,,,,,"57,90"
501,ANEL MINIMALISTA BANH OURO 18K- 2544204,,,,,"99,00"
502,ANEL MINIMALISTA RODIO BRANCO - 2544204,,,,,"79,90"
503,ANEL FIO TORCIDO BANH OURO 18K - SAN2237,,,,,"62,90"
504,ANEL FIO TORCIDO RODIO BRANCO - SAN2237,,,,,"52,90"
506,ANEL COM ZIRCONIAS CRAVEJADAS OURO 18K - AN0121Z,,,,,"59,90"
507,ANEL COM ZIRC CRAVEJADAS RODIO BRANCO - AN0121Z,,,,,"49,90"
508,ANEL TIPO FALANGE C ZIRCONIAS BANH OURO 18K - 2544208,,,,,"69,90"
509,ANEL TIPO FALANGE RODIO BRANCO - 2544208,,,,,"59,90"
512,TRIO BRINCO ESFERAS MACICA PRATA925 - BRC0485,,,,,"89,90"
513,TORNOZELEIRA CORACAO VAZADO PRATA925 - TOR0117,,,,,"89,90"
515,TRIO BRINCOS PEROLA PRATA925 - BRC0563,,,,,"65,90"
517,BINCO EARCUFF CORACAO PRATA925 - BRC1278,,,,,"139,00"
518,BRINCO CORACAO VAZADO FIO RED PRATA925 - BRC2398,,,,,"59,90"
519,ARGOLA CLICK LISA ABAULADA M PRATA925- ARG0434,,,,,"99,00"
520,BRINCO N S APARECIDA VAZADO PRATA925 -BRC0643,,,,,"64,90"
521,BRINCO QUADRADO CRAV C PEDRA PRATA925 - BRC2253,,,,,"159,90"
522,BRINCO N S APARECIDA CRAVEJ PRATA925 - BR1562,,,,,"95,00"
523,PIERCING FAKE OVAL VAZADO PRATA925 - PRG0162,,,,,"67,90"
524,BRINCO GOTA VIRGULA PRATA925 -BRC2138,,,,,"119,00"
525,BRINCO CORACAO CHAPA LISA PRATA925 - BRC2420,,,,,"49,90"
526,BRINCO LOSANGO CRAVEJADO PRATA925 - BRC1451,,,,,"139,00"
527,BRINCO PONTO LUZ RED P8 PRATA925 - BRC269,,,,,"47,50"
528,BRINCO CORACAO BOLINHAS VAZADO PRATA925 - BRC1379,,,,,"99,00"
529,BRINCO PALITO C GOTA PRATA925 - BR0508,,,,,"99,00"
530,BRINCO PALITO PING OVAL PRATA925 - BRC1145,,,,,"104,90"
531,BRINCO PONTO LUZ ESTRELA PE6 PRATA925 - BRC0274,,,,,"42,90"
532,BRINCO PALITO PONTO LUZ RED PENDURADO PRATA925- BRC1140C,,,,,"79,90"
534,BRINCO CORACAO VAZ CRAVEJADO ZIRC PRATA925 - BRC2361,,,,,"105,90"
535,BRINCO PIZZA BORDA CRAVEJADA PRATA925 - BRC2369,,,,,"104,90"
536,BRINCO GOTA ZIRCONIA  CRISTAL5X7 PRATA925- BRC2174,,,,,"32,90"
537,BRINCO GOTA ZIRC CRIST 6X8 PRATA925- BRC2173,,,,,"39,90"
538,BRINCO CORACAO DUPLO PENDURADO PRATA925 - BRC1142,,,,,"109,50"
539,BRINCO CORACAO CRAV COLORIDO PRATA925 - BRC2390,,,,,"139,90"
540,BRINCO EAR HOOK 3 FIOS LUXO CRAVEJADO PRATA925 - BRC1533,,,,,"299,00"
541,CONJUNTO INF VENEZIANA C FLOR PRATA925 - CONJ0125 26 27,,,,,"188,90"
542,TRIO BRINCO ARGOLA CORACAO CRAVEJADO PRATA925- ARG1453,,,,,"219,90"
543,BRINCO CORACAO CRAVEJADO COLORIDO ZIRC PRATA925- BRC2410,,,,,"147,90"
545,ARGOLA CLICK LISA ABAUL PRATA925 - ARG0435,,,,,"89,90"
546,BRINCO ARGOLA C PING RED CRISTAL PRATA925- ARG1305,,,,,"239,90"
549,BRINCO ARGOLA RED LISA M PRATA925 - ARG1518M,,,,,"27,90"
552,BRINCO MEIA ARGOLA TORC LISA PRATA925 - BRC2214,,,,,"298,50"
557,BRINCO ARGOLA CLICK 3 FIL CRAVEJADO PRATA925 - ARG1398,,,,,"175,90"
558,BRINCO PONTO LUZ RED P9 PRATA925 - BRC0270,,,,,"52,90"
561,BRINCO ARGOLA CLICK LISA ABAUL 1CM PRATA925 - ARG1516,,,,,"79,90"
562,BRINCO ARGOLA 3 FIL CRAVEJADO ABAUL PRATA925 - ARG1254,,,,,"199,90"
563,BRINCO ARG CLICK 3 FIL CRAVEJ PRATA925 - ARG1146,,,,,"189,00"
564,BRINCO ARGOLA CLICK 2 FIL P ZIRC PRATA925 - ARG1247,,,,,"145,90"
567,BRINCO PALITO COM CORACAO PONTA PRATA925 - BRC0724,,,,,"99,00"
569,BRINCO PONTO LUZ RED P3 PRATA925 - BRC0264,,,,,"19,90"
571,PIERCING FAKE BOLAS TRIPLO PRATA925 - PRG0012,,,,,"82,90"
572,TORNOZELEIRA GOTA CRISTAL PRATA925 - TOR0192,,,,,"89,90"
576,TORNOZELEIRA 5 ZIRCONIAS COLORIDAS PRATA925 - TOR0204,,,,,"89,90"
577,PULSEIRA INFANTIL PLACA C CORACAO PRATA925 - PUL0880,,,,,"97,50"
578,PULSEIRA INFANTIL PLACA CORACAO E ESTRELA PRATA925- PUL0881,,,,,"97,50"
584,ANEL SOLITARIO FIO DUPLO CRAV PRATA925 - ANL1715,,,,,"129,90"
585,ANEL ABERTO CORACAO CRAVEJADO PRATA925 - ANL1673,,,,,"87,90"
586,ANEL ABAULADO LISO 3 FIL TRAB PRATA925 - ANL1686,,,,,"88,90"
589,ANEL MEIA ALIANCA FINA ZIRC PRATA925 - ANL0781,,,,,"75,90"
590,ANEL LISO C DET V CRAVEJ PRATA925 - 13042,,,,,"65,90"
592,ANEL EM V COROA COM ZIRCONIA PRATA925 - ANL0841,,,,,"79,00"
593,ANEL CORACAO VAZADO TORTO PRATA925 - ANL1553,,,,,"69,90"
597,ANEL COROA TRAB PRATA925 - ANL1401,,,,,"78,90"
599,PULSEIRA COM GOTAS COLORIDAS PRATA925 - PUL0445,,,,,"97,00"
600,PULSEIRA ELOS PORTUGUES ZIRC VERM PRATA925 - PUL1293,,,,,"95,00"
601,PULSEIRA ELOS PORTUGUES ZIRC AZUL PRATA925 - PUL 1294,,,,,"95,00"
602,PÚLSEIRA 4 ZIRCONIAS VERM ESPACADA PRATA925 - PUL1047,,,,,"95,00"
603,ANEL FORMATO V PRATA925 - ANL1606,,,,,"79,90"
604,ANEL 5 CORACAO LISO MACICO CRAV PRATA925 - ANL1678,,,,,"75,90"
606,ANEL MEIA ALIANCA C 6 ZIRC  ESPACADAS PRATA925 - ANL1648,,,,,"72,90"
607,ANEL FIO LISO PARTE FRONTAL OND C ZIRC PRATA925 -ANL1655,,,,,"57,90"
608,ANEL OVAIS C 4 ZIRC EMBUTIDAS PRATA925- ANL1352,,,,,"74,90"
609,PULSEIRA 5 ZIRC VERDE PENDURADAS PRATA925- PUL1227,,,,,"75,90"
611,PULSEIRA 2 OLHO GREGO PRATA925 - PUL1307,,,,,"99,00"
612,PULSEIRA FEMININA VENEZIANA PRATA925 - PUL1286,,,,,"69,90"
615,PULSEIRA BOLINHA DIAMANTADA PRATA925 - PUL1132,,,,,"89,00"
616,PULSEIRA 4 ZIRC OVAL PRATA925 - PUL1235,,,,,"89,90"
617,PULSEIRA ELOS 4 ZIRC RET CRISTAL PRATA925 - PUL1310,,,,,"87,90"
622,PULSEIRA INFINITO 2 OLHO GREGO PRATA925 - PUL0734,,,,,"69,90"
625,TRIO BRINCO PONTO LUZ RED CRAVACAO PRATA925 - BRC2568,,,,,"87,90"
627,TRIO BRINCO PONTO LUZ COLORS 3MM PRATA925 - BRC2454,,,,,"65,90"
629,TRIO BRINCO CORACAO GALERIA VAZADO PRATA925 - BRC0423,,,,,"129,90"
631,"BRINCO ARGOLA C TARRAXA FIO RED 1,3CM PRATA925 - ARG1560",,,,,"32,90"
632,"BRINCO ARGOLA C TARRAXA FIO RED 1,5CM PRATA925 - ARG1559",,,,,"36,90"
633,"BRINCO ARGOLA C TARRAXA FIO RED 1,8 PRATA925 - ARG1558",,,,,"39,90"
634,BRINCO PONTO LUZ RED P4MM PRATA925 - BRC2517,,,,,"24,90"
636,BRINCO GOTA ZIRCONIA CRISTAL 4X6 PRATA925 - BRC2175,,,,,"29,90"
637,BRINCO BASE BOLA CRAVEJADA C 7 VENEZIANA PRATA925 - BRC2432,,,,,"115,90"
638,BRINCO ZIRCONIA RET C 2 RIVIERA PRATA925 - BRC2435,,,,,"135,90"
639,"BRINCO ARGOLA CORACAO FIO QUAD 2X1,7CM PRATA925 - ARG1081",,,,,"29,90"
640,BRINCO ARGOLA CORACAO FIO QUAD 2.2X2.6 PRATA925- ARG1362,,,,,"39,90"
641,BRINCO ARGOLA HEXAGONAL FIO QUAD PRATA925 - ARG1541,,,,,"37,90"
642,BRINCO GOTA VAZADA GOTA LISA SUPERIOR PRATA925 - BRC2383,,,,,"45,90"
643,BRINCO ARGOLA QUAD CHAPA TRIANGULA PRATA925 - ARG1543,,,,,"37,90"
644,"BRINCO MEIO COPRACAO RENDA ITALIANA 1,6CM PRATA925- BRC2575",,,,,"115,00"
646,BRINCO ARGOLA CORACAO FIO LEVEMENTE TORCIDO PRATA925 - ARG1530,,,,,"47,90"
647,BRINCO BOLA B03 PRATA925 - BRC0289,,,,,"25,90"
648,BRINCO PONTO LUZ CORACAO PC5 PRATA925 - BRC2541,,,,,"29,90"
649,BRINCO BOLA B04 PRATA925 - BRC0290,,,,,"27,90"
650,BRINCO PONTO LUZ CORACAO PC7 PRATA925 - BRC2543,,,,,"39,90"
651,BRINCO BOLA B05 PRATA925 - BRC0291,,,,,"33,90"
652,"BRINCO ARGOLA C TARRAXA LEVEMENTE TORC 2,6CM PRATA925- ARG1555",,,,,"54,90"
653,BRINCO PIZZA CRAVEJADO CRISTAL PRATA925- BRC2426,,,,,"154,90"
654,BRINCO INFANTIL URSO PANDA ROSA PRATA925- BRC2194,,,,,"99,00"
655,BRINCO SETA 5 FILEIRAS CRAVEJADA PRATA925 - BRC2462,,,,,"135,90"
656,BRINCO RIVIERA C ZIRCONIA RETANGULAR PRATA925 - BRC2439,,,,,"159,90"
657,BRINCO PONTO LUZ CORACAO PC4 PRATA925 - BRC2540,,,,,"25,90"
658,TRIO BRINCO MEIA PEROLA PRATA925 - BRC2572,,,,,"69,90"
659,BRINCO PONTO LUZ CORACAO PC10 PRATA925 - BRC2546,,,,,"49,90"
660,BRINCO CORACAO VAZADO LATERAL TRABALHADA PRATA925 - BRC2389,,,,,"69,90"
661,BRINCO INFANTIL MORANGO VERM PRATA925 - BRC2197,,,,,"85,00"
673,BRINCO INFANTIL CORACAO RESINADO ROSA PRATA925 - BRC2149,,,,,"84,90"
746,ANEL GRIFA C 3 ZIRCONIAS PRATA925- ANL1196,,,,,"79,90"
748,ANEL CORACAO LISO VAZAD C ZIRC PRATA925- ANL1493,,,,,"75,90"
749,ANEL 2 FIOS TRANCADO EM X LISO PRATA925- ANL1574,,,,,"89,90"
750,ANEL 2 FIOS CORACAO CRAV VAZADO PRATA925 - ANL1651,,,,,"95,00"
753,ANEL LISO C ONDA CRAVEJ PRATA925- ANL1663,,,,,"89,90"
754,ANEL 5 ZIRC EMB C FIO ONDULADO PRAT925- ANL1666,,,,,"79,90"
756,ANEL COROA MINI CORACOES ARO PRATA925- ANL1669,,,,,"89,90"
759,ANEL ZIRC CRISTAL 5MM C 14 ZIRC PRATA925- ANL1683,,,,,"109,90"
782,TORNOZELEIRA ELOS ESTRELA E CORACAO PRATA925-TOR0231,,,,,"77,90"
798,CONJ BRINCO ARG MEIA TRABALHADA BANH OURO 18K- BR1093,,,,,"69,90"
805,CONJ COLAR E BRINCO PEROLA PEND BANH OURO18K-CJ00079,,,,,"159,00"
807,BRINCO BOLA MACICA 5MM BANH OURO 18K- BR00014,,,,,"39,90"
811,BRINCO PONTO LUZ RED CRISTAL PP BANH OURO 18K- BR01200,,,,,"19,90"
814,ANEL PRINCESA OVAL CRAVEJ ESMERALDA BANH OURO18K- AGF794,,,,,"99,00"
819,BRINCO ANZOL C ESFERA GD BANH OURO 18K- BS707,,,,,"67,90"
821,ANEL FE CRAVEJADO BANH OURO 18K - AGF556,,,,,"74,90"
825,ANEL LUXO EM X CRAVEJADO BANH OURO 18K- AGF982,,,,,"104,90"
844,GARGANTILHA C PING CAVALO CRAVEJ BANH OURO 18K- 844,,,,,"145,00"
845,GARGANTILHA C PING CAVALO CRAVEJ RODIO BRANCO - 844,,,,,"109,00"
846,GARGANTILHA JESUS CRAVEJADO COLOR BANH OURO 18K- GF8563,,,,,"145,00"
847,GARGANTILHA JESUS CRAVEJADO COLOR RODIO BRANCO - GF8563,,,,,"127,90"
848,GARGANTILHA PEROLAS C CORACAO BANH OURO 18K - GZ685,,,,,"239,00"
849,GARGANTILHA TERCO N S APARECIDA BANH OURO 18K- GF8910,,,,,"159,90"
850,GARGANTILHA TERCO PEROLAS BANH OURO 18K- GF18,,,,,"169,00"
851,CONJ TREVO GD ALHAMBRA  COLAR E BRINCO BANH OURO18K- GFMD295B,,,,,"159,90"
852,CONJ COLAR E BRINCO PEROLA PEND RODIO BRANCO - CJ00079,,,,,"115,90"
855,CHOKER LAMINADA 3MM BANH OURO 18K - L239,,,,,"159,90"
856,CHOKER LAMINA 3MM RODIO BRANCO - L239,,,,,"115,90"
858,CHOKER LAMINA 2MM RODIO BRANCO - L 573,,,,,"89,90"
859,CHOKER COM TREVOS PEROLAS BANH OURO 18K- CKN00373,,,,,"169,90"
861,CHOKER LAMINADA C PING ORGANICO BANH OURO 18K- CL02107,,,,,"179,90"
862,CHOKER LAMINADA C PING ORGANICO RODIO BRANCO - CL02107,,,,,"145,90"
863,CONJUNTO COLAR E BRINCO LACO LISO BANH OURO 18K- GF8994,,,,,"159,90"
864,CONJUNTO COLAR E BRINCO LACO LISO RODIO BRANCO- GF8994,,,,,"129,90"
865,CONJUNTO COLAR  E BRINCO GOTA PEROLA BANH OURO 18K- GFMD315,,,,,"189,00"
866,CONJUNTO COLAR E BRINCO GOTA PEROLA RODIO BRANCO- GFMD315,,,,,"154,90"
867,BRINCO ORGANICO LACO GRANDE BANH OURO 18K- BR08795,,,,,"89,90"
868,BRINCO ORGANICO LACO GRANDE RODIO BRANCO - BR0895,,,,,"79,90"
869,CONJUNTO COLAR E BRINCO CORACAO VAZ GD BANH OURO 18K- GF9074,,,,,"189,00"
870,CONJUNTO COLAR E BRINCO CORACAO VAZ GD RODIO BRANCO- GF9074,,,,,"149,90"
871,CONJUNTO BRINCO E COLAR FLOR C ZIRC BANHO OURO 18K- GF8967,,,,,"189,90"
872,CONJUNTO BRINCO E COLAR FLOR C ZIRC RODIO BRANCO - GF8967,,,,,"159,00"
873,CONJUNTO COLAR E BRINCO QUAD C MICRO ZIRC BANH OURO 18K- GF8735,,,,,"199,90"
874,CONJUNTO COLAR E BRINCO QUAD C MICRO ZIRC RODIO BRANCO- GF8735,,,,,"179,90"
875,CONJUNTO COLAR E BRINCO CORACAO CRAVEJADO BANH OURO18K- GF8804,,,,,"199,00"
876,CONJUNTO COLAR E BRINCO CORACAO CRAVEJADO RODIO BRANCO- GF8804,,,,,"174,90"
877,CONJUNTO COLAR E BRINCO RED C MICRO ZIRC BANH OURO 18K- GF8736,,,,,"199,00"
878,CONJUNTO COLAR E BRINCO RED C MICRO ZIRC RODIO BRANCO- GF8736,,,,,"175,90"
879,CONJUNTO COLAR E BRINCO CORACAO ROSA BANH OURO 18K- GFCJ03,,,,,"199,90"
880,CONJUNTO COLAR E BRINCO CORACAO ROSA RODIO BRANCO- GFCJ03,,,,,"179,00"
881,CONJUNTO COL E BRI GOTA SAFIRA C MICRO ZIRC BANH OURO18K- GF8737,,,,,"199,00"
882,CONJUNTO COL E BRI GOTA SAFIRA C MICRO ZIRC RODIO BRANCO- GF8737,,,,,"169,90"
887,BRINCO GOTA PEROLA 19X8MM BASE BANH OURO 18K - GFBR847,,,,,"69,90"
888,BRINCO GOTA PEROLA 16X7MM BASE RODIO BRANCO- GFBR837,,,,,"55,90"
889,BRINCO EAR CUFF ELOS PEDRAS VIDRO COLOR BANH OURO18K-GFBR605 VD,,,,,"129,90"
890,BRINCO EAR CUFF ELOS PEDRA VIDRO COL RODIO BRANCO- GFBR605 VID,,,,,"99,90"
896,BRINCO ORGANICO MODINHA MEDIO BANH OURO 18K- BR08577,,,,,"79,90"
900,BRINCO ORGANICO GRANDE LISO ABERTO BANH OURO 18K- BR08576,,,,,"115,00"
902,BRINCO ORGANICO GRANDE LISO FECHADO BANH OURO 18K- BR08575,,,,,"129,00"
904,BRINCO ARGOLINHA CRAVEJADO MEIO BANH OURO 18K- BR7969,,,,,"99,00"
905,BRINCO ARGOLINHA CRAVEJADO NO MEIO RODIO BRANCO- BR7969,,,,,"84,90"
908,BRINCO FESTA PALITOS PRETO BANH OURO 18K - BZ606,,,,,"129,90"
909,BRINCO EAR CUFF PED PALITO COLOR BANH OURO 18K - BZ551M,,,,,"99,00"
910,BRINCO EAR CUFF PED PALITO COLOR RODIO BRANCO - BZ551M,,,,,"82,90"
931,BRINCO GOTA TORTA PP BANH OURO 18K- BR08309,,,,,"29,90"
935,BRINCO LUXO COM ZIRCONIAS COLOR BANH OURO 18K - BR7080,,,,,"139,90"
938,BRINCO ARGOLA ABERTA MEDIA TRABALHADA BANH OURO 18K - BR04156,,,,,"59,90"
940,BRINCO GOTA TORTA MED RODIO BRANCO - BR08341,,,,,"45,90"
941,BRINCO GOTA CHAPA CHEIA LISA GRANDE BANH OURO 18K- BR07918,,,,,"114,90"
943,BRINCO EAR CUFF TRABALHADO BANH OURO 18K - BR08484,,,,,"89,90"
944,BRINCO EAR CUFF TRABALHADO RODIO BRANCO - BR08484,,,,,"79,90"
945,BRINCO ARGOLA MED LARGA MEIO JATEADO BANH OURO 18K- BR06197,,,,,"69,90"
946,BRINCO ARGOLA MED LARGA MEIO JATEADO RODIO BRANCO- BR06197,,,,,"54,90"
947,CONJUNTO COLAR E BRINCO GOTA COLOR BANH OURO 18K- CJ00114,,,,,"139,90"
948,CONJUNTO COLAR E BRINCO GOTA COLOR RODIO BRANCO - CJ00114,,,,,"99,90"
949,CONJUNTO COL E BRI CORACAO C MICRO ZIRC BANH OURO18K- CJ00054,,,,,"189,00"
950,CONJUNTO COL E BRI CORACAO C MICRO ZIRC RODIO BRANCO- CJ00054,,,,,"159,00"
951,CONJUNTO COL E BRI FLOR COM GOTA BANH OURO 18K- GF9127,,,,,"209,90"
952,CONJUNTO COL E BRINCO RED CRAVEJADO BANH OURO - GF9016,,,,,"198,00"
953,CONJUNTO COL E BRI RED CRAVEJADO RODIO BRANCO- GF9016,,,,,"169,00"
954,CONJUNTO COL E BRI GOTA FIO TORC C ZIRC BANH OURO 18K - GF8983,,,,,"189,00"
955,CONJUNTO COL E BRI GOTA FIO TORC C ZIRC RODIO BRANCO- GF8983,,,,,"145,90"
956,CONJUNTO COL E BRI REDONDO ZIRC CRAVEJADO BANH OURO 18K- GF8661,,,,,"169,00"
957,CONJUNTO COL E BRI REDONDO ZIRC CRAVEJADO RODIO BRANCO- GF8661,,,,,"139,90"
958,CONJUNTO COLAR E BRINCO GOTA GRANDE BANHADO OURO18K- GFCJ13,,,,,"199,00"
959,CONJUNTO COLAR E BRINCO GOTA GRANDE RODIO BRANCO -GFCJ13,,,,,"169,00"
960,BRINCO ESPÍRITO SANTO BANH OURO 18K - BR01935,,,,,"49,90"
961,BRINCO ESPIRITO SANTO RODIO BRANCO - BR01935,,,,,"39,90"
962,BRINCO ARGOLA TORCIDA CRAVEJADA BANH OURO 18K - GFBR700,,,,,"145,00"
963,BRINCO ARGOLA TORCIDA CRAVEJADA RODIO BRANCO - GFBR700,,,,,"129,90"
964,BRINCO ARGOLA DUPLA TRAB E CRAVEJADA BANH OURO 18K- BRX487,,,,,"124,90"
965,BRINCO ARGOLA DUPLA TRAB E CRAVEJADA RODIO BRANCO- BRX487,,,,,"109,90"
966,BRINCO ARGOLA  ARTICULADO LISO G BANH OURO 18K - BRX226G,,,,,"78,90"
971,BRINCO CRUZ COM PEDRAS STRASS BANH OURO 18K- BR4352,,,,,"64,90"
990,CONJUNTO COL E BRI CORACAO ZIRC CRISTAL BANH OURO 18K-CJ00082,,,,,"165,90"
997,BRINCO PEROLA GG BASE BANH OURO 18K- BIMP12,,,,,"59,90"
1054,ANEL FININHO QUADRADO BANH OURO 18K -2544B29,,,,,"49,90"
1055,ANEL PONTO LUZ LUXO CRAVEJADO BANH OURO 18K- ANP071,,,,,"99,00"
1065,PIERCING FAKE CRAVEJ E PALITOS BANH OURO 18K- BRX130,,,,,"65,90"
1066,PIERCING FAKE CRAVEJ E PALITOS RODIO BRANCO- BRX130,,,,,"59,90"
1067,TRIO BRINCO ARGOLINHA CRAVEJADAS BANH OURO 18K-BR08696,,,,,"159,00"
1068,TRIO BRINCO ARGOLINHA CRAVEJADA RODIO BRANCO -BR08696,,,,,"145,00"
1071,TRIO BRINCO ARGOLINHA CRAVEJADA BANH OURO 18K- BR08673,,,,,"159,00"
1072,TRIO BRINCO ARGOLINHA CRAVEJADA RODIO BRANCO -BR08673,,,,,"145,00"
1073,TRIO BRINCO ARG LISA REDONDA ARTICULAD BANH OURO 18K- BRX675,,,,,"149,90"
1074,TRIO BRINCO ARG LISA REDONDA ARTICULAD RODIO BRANCO- BRX675,,,,,"139,90"
1077,TRIO BRINCOS GRAVACAO INGLESA BANH OURO 18K- BRX301,,,,,"189,90"
1078,TRIO BRINCOS GRAVACAO INGLESA RODIO BRANCO- BRX301,,,,,"175,00"
1079,TRIO BRINCO CORACAO LISO BANH OURO 18K- BRX95,,,,,"169,00"
1080,TRIO BRINCO CORACAO LISO RODIO BRANCO- BRX95,,,,,"155,00"
