codigo,descricao_curta,Peso,altura,largura,comprimento,preco
77,BRINCO ARGOLA GROSSA CLICK BANH OURO 18K - BRC1952,,,,,"99,00"
78,BRINCO ARGOLA GROSSA CLICK RODIO BRANCO - BRC1952,,,,,"87,90"
79,BRINCO ARGOLA GRANDE C PEROLAS BANH OURO 18K - BC67A,,,,,"83,90"
80,BRINCO ARGOLA GRANDE C PEROLAS RODIO BRANCO - BC67A,,,,,"75,90"
81,BRINCO ARGOLA MED LARGA ABERTA BANH OURO 18K - C01113,,,,,"75,90"
82,BRINCO ARGOLA MED LARGA ABERTA RODIO BRANCO - C01113,,,,,"65,90"
83,BRINCO ARGOLA PEQ TREVINHOS BANH OURO 18K - SBR2339,,,,,"99,00"
84,BRINCO ARGOLA PEQ TREVINHOS RODIO BRANCO - SBR2339,,,,,"85,90"
85,BRINCO ARGOLA FIOS CARACOL TORCIDOS BANH OURO 18K - B02094,,,,,"139,90"
86,BRINCO ARGOLA FIOS CARACOL TORCIDOS RODIO BRANCO - B02094,,,,,"119,90"
87,BRINCO ARGOLA DUPLA LISA LARGA BANH OURO 18K - C01523,,,,,"129,90"
88,BRINCO ARGOLA DUPLA LARGA RODIO BRANCO - C01523,,,,,"115,90"
89,BRINCO ARGOLA ABERTA LARGA MED BANH OURO 18K - C01518,,,,,"69,90"
90,BRINCO ARGOLA ABERTA LARGA MED RODIO BRANCO - C01518,,,,,"59,90"
91,BRINCO ARGOLA MEDIA LISA ABERTA BANH OURO 18K - B0092,,,,,"85,90"
92,BRINCO ARGOLA MEDIA LISA ABERTA RODIO BRANCO - B0092,,,,,"75,90"
93,BRINCO ARGOLA FOSCA MEDIA FINA BANH OURO 18K - C01382,,,,,"99,00"
94,BRINCO ARGOLA FOSCA MEDIA FINA RODIO BRANCO - C01382,,,,,"89,00"
95,BRINCO ARGOLA FIO TORTO BANH OURO 18K - B02217,,,,,"54,90"
96,BRINCO ARGOLA FIO TORTO RODIO BRANCO - B02217,,,,,"49,90"
97,BRINCO ARGOLA GEOMETRICA LUXO BANH OURO 18K - B02282,,,,,"115,00"
98,BRINCO ARGOLA GEOMETRICA LUXO RODIO BRANCO - B02282,,,,,"99,00"
